data_index_,solar_prediction_mw,wind_prediction_mw,load_actuals_mw,dayofweek,total_gen
2020-06-23 00:00:00+00:00,6722.396889021309,1809.7578180408084,9543.432481171105,1,8532.154707062118
2020-06-24 00:00:00+00:00,6675.067235825751,5731.55444948441,9615.881803330858,2,12406.621685310161
2020-06-25 00:00:00+00:00,6554.558745348219,5712.1802754236205,9767.035372865173,3,12266.73902077184
2020-06-26 00:00:00+00:00,5244.046502173438,5375.015944772411,9935.913917471094,4,10619.062446945849
2020-06-27 00:00:00+00:00,4070.965889504795,9498.759496706447,8515.65983663944,5,13569.725386211241
2020-06-28 00:00:00+00:00,5009.714013196985,12831.806249330319,7925.586428344118,6,17841.520262527305
2020-06-29 00:00:00+00:00,5466.030271757827,13953.71551464623,9107.062480110322,0,19419.745786404055
2020-06-30 00:00:00+00:00,3147.578728461082,12585.803922669129,9598.82290654503,1,15733.38265113021
2020-07-01 00:00:00+00:00,1888.7520718016076,10866.105368158416,9774.94315901135,2,12754.857439960024
2020-07-02 00:00:00+00:00,4057.881446039341,7894.080152457535,9706.196111170044,3,11951.961598496877
2020-07-03 00:00:00+00:00,4882.462394846296,9526.416023348249,9333.12194123263,4,14408.878418194545
2020-07-04 00:00:00+00:00,1493.0887825624668,14262.973942415136,8201.447900710724,5,15756.062724977603
2020-07-05 00:00:00+00:00,2543.726741095162,15883.83276612463,7708.258046037976,6,18427.55950721979
2020-07-06 00:00:00+00:00,5214.497920380274,8670.656899111686,9137.720799830275,0,13885.15481949196
2020-07-07 00:00:00+00:00,4817.114644901023,3840.704707917281,9564.418383366925,1,8657.819352818304
2020-07-08 00:00:00+00:00,872.7327454107641,5279.168728857232,9924.196955553198,2,6151.9014742679965
2020-07-09 00:00:00+00:00,2290.470494417863,9926.095342085526,9375.335572292352,3,12216.565836503389
2020-07-10 00:00:00+00:00,3664.3955030177945,3595.039772640301,9399.304219794209,4,7259.435275658096
2020-07-11 00:00:00+00:00,5319.233355224068,978.8240666568022,8312.960398854355,5,6298.057421880871
2020-07-12 00:00:00+00:00,5801.391301594126,817.0267208873968,7900.870228068315,6,6618.418022481523
2020-07-13 00:00:00+00:00,6266.124871001032,1406.2192265892472,9099.517379866342,0,7672.3440975902795
2020-07-14 00:00:00+00:00,1565.4611126747352,2027.5391731168586,9603.690709663731,1,3593.000285791594
2020-07-15 00:00:00+00:00,3590.092097445039,1049.2164101046487,9586.291307945263,2,4639.308507549687
2020-07-16 00:00:00+00:00,1428.487663007787,2460.307083560812,9723.103419963934,3,3888.794746568599
2020-07-17 00:00:00+00:00,3685.5200612940553,366.70744276464495,9424.264518934975,4,4052.2275040587
2020-07-18 00:00:00+00:00,5296.709353597899,2421.21305277337,8353.083933382837,5,7717.922406371269
2020-07-19 00:00:00+00:00,4745.242674422241,2752.319645490308,7820.214920971677,6,7497.562319912549
2020-07-20 00:00:00+00:00,5736.291748716104,2604.2239615488625,8350.924805346345,0,8340.515710264966
2020-07-21 00:00:00+00:00,5926.998311286237,1467.2838781768364,7899.689226689296,1,7394.282189463074
2020-07-22 00:00:00+00:00,5649.517622040842,810.9313532902357,8726.965923411477,2,6460.448975331078
2020-07-23 00:00:00+00:00,5081.464802827032,4960.75034823383,8786.454093561048,3,10042.215151060862
2020-07-24 00:00:00+00:00,3750.0703630734592,4084.7611345534697,8812.894999469609,4,7834.8314976269285
2020-07-25 00:00:00+00:00,2862.7920067548553,9958.579945813286,7899.352833351013,5,12821.37195256814
2020-07-26 00:00:00+00:00,4688.287675516778,10529.271413191556,7521.303850641773,6,15217.559088708334
2020-07-27 00:00:00+00:00,3881.4108578040473,8992.955599548954,8506.186615041901,0,12874.366457353
2020-07-28 00:00:00+00:00,4615.246896206649,8019.614621228742,8531.419145009017,1,12634.86151743539
2020-07-29 00:00:00+00:00,5540.345404509491,2405.2491466357806,8767.54681871221,2,7945.594551145272
2020-07-30 00:00:00+00:00,5824.049316696376,1297.8088055962323,8874.124213429512,3,7121.858122292609
2020-07-31 00:00:00+00:00,6025.846702317292,6072.434549898208,8907.034496658534,4,12098.2812522155
2020-08-01 00:00:00+00:00,4643.865121806299,7170.580364204114,8321.0402227644,5,11814.445486010412
2020-08-02 00:00:00+00:00,4881.40694874441,3808.2947257244027,7918.47488490506,6,8689.701674468814
2020-08-03 00:00:00+00:00,3611.1502017074777,1599.1905157942538,8915.071257027686,0,5210.340717501731
